id;name;pair;symbol;price
1;Mouse;deposit;Analyst;discrete
2;Handcrafted Utah;auxiliary mindshare Metal;Saint Walk;Gloves
3;generating Buckinghamshire;Home;Assurance THX;Bedfordshire ivory panel
4;District Rwanda Implementation;Internal;West;Plastic
5;magenta COM;parsing Towels Unbranded;compressing;indexing Georgia
6;multimedia invoice;transform application virtual;methodical teal;deposit
7;microchip;solid;Iranian Corporate;rich enterprise leverage
8;Toys Cotton Interactions;compress International;Administrator ivory Rupee;Consultant USB
9;Wooden calculating;Herzegovina Iowa;Mobility Shirt;Cotton
10;Nevada;Rapids tolerance;Passage hacking;Account
